run_name,d_model,n_layers,G,j,A,top_k,n_experts,d_expert,N_act,N_tot,D,steps,warmup,C,lr
d008_G04_A4_T8M,8,10,4,4,0.5,16,32,8,33280,468992,8000000,976,10,28892160000000,0.010125238326949488
d008_G04_A8_T8M,8,10,4,8,1.0,32,32,8,64000,468992,8000000,976,10,30366720000000,0.010048468640516995
d008_G08_A1_T8M,8,10,8,1,0.125,8,64,4,10240,471552,8000000,976,10,27909120000000,0.010178972307578301
d008_G08_A2_T8M,8,10,8,2,0.25,16,64,4,17920,471552,8000000,976,10,28277760000000,0.01015856998635103
d008_G08_A3_T8M,8,10,8,3,0.375,24,64,4,25600,471552,8000000,976,10,28646400000000,0.010138472025674024
d008_G08_A4_T8M,8,10,8,4,0.5,32,64,4,33280,471552,8000000,976,10,29015040000000,0.01011867005505773
d008_G08_A8_T8M,8,10,8,8,1.0,64,64,4,64000,471552,8000000,976,10,30489600000000,0.01004226596025926
d008_G16_A1_T8M,8,10,16,1,0.125,16,128,2,10240,476672,8000000,976,10,28154880000000,0.01016533651896103
d008_G16_A2_T8M,8,10,16,2,0.25,32,128,2,17920,476672,8000000,976,10,28523520000000,0.010145138051778569
d008_G16_A3_T8M,8,10,16,3,0.375,48,128,2,25600,476672,8000000,976,10,28892160000000,0.010125238326949488
d008_G16_A4_T8M,8,10,16,4,0.5,64,128,2,33280,476672,8000000,976,10,29260800000000,0.010105629197876118
d008_G16_A8_T8M,8,10,16,8,1.0,128,128,2,64000,476672,8000000,976,10,30735360000000,0.010029946612941078
d008_G01_A1_T16M,8,10,1,1,0.125,1,8,32,10240,467072,16000000,1953,20,55388160000000,0.00916621560296507
d008_G01_A2_T16M,8,10,1,2,0.25,2,8,32,17920,467072,16000000,1953,20,56125440000000,0.009147701634077455
d008_G01_A3_T16M,8,10,1,3,0.375,3,8,32,25600,467072,16000000,1953,20,56862720000000,0.009129465956021928
d008_G01_A4_T16M,8,10,1,4,0.5,4,8,32,33280,467072,16000000,1953,20,57600000000000,0.009111500857813268
d008_G01_A8_T16M,8,10,1,8,1.0,8,8,32,64000,467072,16000000,1953,20,60549120000000,0.009042202525311144
d008_G02_A1_T16M,8,10,2,1,0.125,2,16,16,10240,467712,16000000,1953,20,55449600000000,0.009164661949163471
d008_G02_A2_T16M,8,10,2,2,0.25,4,16,16,17920,467712,16000000,1953,20,56186880000000,0.00914617147353552
d008_G02_A3_T16M,8,10,2,3,0.375,6,16,16,25600,467712,16000000,1953,20,56924160000000,0.009127958633945922
d008_G02_A4_T16M,8,10,2,4,0.5,8,16,16,33280,467712,16000000,1953,20,57661440000000,0.00911001574579493
d008_G02_A8_T16M,8,10,2,8,1.0,16,16,16,64000,467712,16000000,1953,20,60610560000000,0.009040800450571556
d008_G04_A1_T16M,8,10,4,1,0.125,4,32,8,10240,468992,16000000,1953,20,55572480000000,0.009161560587189744
d008_G04_A2_T16M,8,10,4,2,0.25,8,32,8,17920,468992,16000000,1953,20,56309760000000,0.009143116931445646
d008_G04_A3_T16M,8,10,4,3,0.375,12,32,8,25600,468992,16000000,1953,20,57047040000000,0.009124949608903915
d008_G04_A4_T16M,8,10,4,4,0.5,16,32,8,33280,468992,16000000,1953,20,57784320000000,0.009107050987380023
d008_G04_A8_T16M,8,10,4,8,1.0,32,32,8,64000,468992,16000000,1953,20,60733440000000,0.009038001210372305
d008_G08_A1_T16M,8,10,8,1,0.125,8,64,4,10240,471552,16000000,1953,20,55818240000000,0.009155381514083679
d008_G08_A2_T16M,8,10,8,2,0.25,16,64,4,17920,471552,16000000,1953,20,56555520000000,0.009137030836926468
d008_G08_A3_T16M,8,10,8,3,0.375,24,64,4,25600,471552,16000000,1953,20,57292800000000,0.009118953914021781
d008_G08_A4_T16M,8,10,8,4,0.5,32,64,4,33280,471552,16000000,1953,20,58030080000000,0.009101143216611013
d008_G08_A8_T16M,8,10,8,8,1.0,64,64,4,64000,471552,16000000,1953,20,60979200000000,0.009032422267581865
d008_G16_A1_T16M,8,10,16,1,0.125,16,128,2,10240,476672,16000000,1953,20,56309760000000,0.009143116931445646
d008_G16_A2_T16M,8,10,16,2,0.25,32,128,2,17920,476672,16000000,1953,20,57047040000000,0.009124949608903915
d008_G16_A3_T16M,8,10,16,3,0.375,48,128,2,25600,476672,16000000,1953,20,57784320000000,0.009107050987380023
d008_G16_A4_T16M,8,10,16,4,0.5,64,128,2,33280,476672,16000000,1953,20,58521600000000,0.009089413739492834
d008_G16_A8_T16M,8,10,16,8,1.0,128,128,2,64000,476672,16000000,1953,20,61470720000000,0.00902134174576745
d016_G01_A1_T0_5M,16,10,1,1,0.125,1,8,64,40960,1062144,500000,61,10,3523200000000,0.013967922134577666
d016_G01_A2_T0_5M,16,10,1,2,0.25,2,8,64,71680,1062144,500000,61,10,3615360000000,0.013912883427792209
d016_G01_A3_T0_5M,16,10,1,3,0.375,3,8,64,102400,1062144,500000,61,10,3707520000000,0.01385943897598549
d016_G01_A4_T0_5M,16,10,1,4,0.5,4,8,64,133120,1062144,500000,61,10,3799680000000,0.01380750465487992
d016_G01_A8_T0_5M,16,10,1,8,1.0,8,8,64,256000,1062144,500000,61,10,4168320000000,0.013613395854070925
d016_G02_A1_T0_5M,16,10,2,1,0.125,2,16,32,40960,1063424,500000,61,10,3527040000000,0.013965595862620018
d016_G02_A2_T0_5M,16,10,2,2,0.25,4,16,32,71680,1063424,500000,61,10,3619200000000,0.013910625351952187
d016_G02_A3_T0_5M,16,10,2,3,0.375,6,16,32,102400,1063424,500000,61,10,3711360000000,0.01385724545558218
d016_G02_A4_T0_5M,16,10,2,4,0.5,8,16,32,133120,1063424,500000,61,10,3803520000000,0.013805372326980368
d016_G02_A8_T0_5M,16,10,2,8,1.0,16,16,32,256000,1063424,500000,61,10,4172160000000,0.013611479333028866
d016_G04_A1_T0_5M,16,10,4,1,0.125,4,32,16,40960,1065984,500000,61,10,3534720000000,0.013960952066184555
d016_G04_A2_T0_5M,16,10,4,2,0.25,8,32,16,71680,1065984,500000,61,10,3626880000000,0.013906117475392913
d016_G04_A3_T0_5M,16,10,4,3,0.375,12,32,16,102400,1065984,500000,61,10,3719040000000,0.013852866253976094
d016_G04_A4_T0_5M,16,10,4,4,0.5,16,32,16,133120,1065984,500000,61,10,3811200000000,0.013801115107286491
d016_G04_A8_T0_5M,16,10,4,8,1.0,32,32,16,256000,1065984,500000,61,10,4179840000000,0.013607652384628665
d016_G08_A1_T0_5M,16,10,8,1,0.125,8,64,8,40960,1071104,500000,61,10,3550080000000,0.01395169927286168
d016_G08_A2_T0_5M,16,10,8,2,0.25,16,64,8,71680,1071104,500000,61,10,3642240000000,0.013897134647228752
d016_G08_A3_T0_5M,16,10,8,3,0.375,24,64,8,102400,1071104,500000,61,10,3734400000000,0.013844139045392646
d016_G08_A4_T0_5M,16,10,8,4,0.5,32,64,8,133120,1071104,500000,61,10,3826560000000,0.01379263026219474
d016_G08_A8_T0_5M,16,10,8,8,1.0,64,64,8,256000,1071104,500000,61,10,4195200000000,0.013600022750362909
d016_G16_A1_T0_5M,16,10,16,1,0.125,16,128,4,40960,1081344,500000,61,10,3580800000000,0.013933331380791163
d016_G16_A2_T0_5M,16,10,16,2,0.25,32,128,4,71680,1081344,500000,61,10,3672960000000,0.013879299303884183
d016_G16_A3_T0_5M,16,10,16,3,0.375,48,128,4,102400,1081344,500000,61,10,3765120000000,0.013826808125031226
d016_G16_A4_T0_5M,16,10,16,4,0.5,64,128,4,133120,1081344,500000,61,10,3857280000000,0.013775777762361587
d016_G16_A8_T0_5M,16,10,16,8,1.0,128,128,4,256000,1081344,500000,61,10,4225920000000,0.013584859644023468
d016_G01_A1_T1M,16,10,1,1,0.125,1,8,64,40960,1062144,1000000,122,10,7046400000000,0.012563317026205483
d016_G01_A2_T1M,16,10,1,2,0.25,2,8,64,71680,1062144,1000000,122,10,7230720000000,0.012513812975753606
d016_G01_A3_T1M,16,10,1,3,0.375,3,8,64,102400,1062144,1000000,122,10,7415040000000,0.01246574286304318
d016_G01_A4_T1M,16,10,1,4,0.5,4,8,64,133120,1062144,1000000,122,10,7599360000000,0.012419031023278921
d016_G01_A8_T1M,16,10,1,8,1.0,8,8,64,256000,1062144,1000000,122,10,8336640000000,0.012244441676442354
d016_G02_A1_T1M,16,10,2,1,0.125,2,16,32,40960,1063424,1000000,122,10,7054080000000,0.012561224682633439
d016_G02_A2_T1M,16,10,2,2,0.25,4,16,32,71680,1063424,1000000,122,10,7238400000000,0.01251178197054223
d016_G02_A3_T1M,16,10,2,3,0.375,6,16,32,102400,1063424,1000000,122,10,7422720000000,0.012463769921616052
d016_G02_A4_T1M,16,10,2,4,0.5,8,16,32,133120,1063424,1000000,122,10,7607040000000,0.012417113120877421
d016_G02_A8_T1M,16,10,2,8,1.0,16,16,32,256000,1063424,1000000,122,10,8344320000000,0.012242717879501992
d016_G04_A1_T1M,16,10,4,1,0.125,4,32,16,40960,1065984,1000000,122,10,7069440000000,0.012557047863328334
d016_G04_A2_T1M,16,10,4,2,0.25,8,32,16,71680,1065984,1000000,122,10,7253760000000,0.012507727403099517
d016_G04_A3_T1M,16,10,4,3,0.375,12,32,16,102400,1065984,1000000,122,10,7438080000000,0.012459831089657451
d016_G04_A4_T1M,16,10,4,4,0.5,16,32,16,133120,1065984,1000000,122,10,7622400000000,0.01241328400440977
d016_G04_A8_T1M,16,10,4,8,1.0,32,32,16,256000,1065984,1000000,122,10,8359680000000,0.01223927576652832
d016_G08_A1_T1M,16,10,8,1,0.125,8,64,8,40960,1071104,1000000,122,10,7100160000000,0.012548725524846406
d016_G08_A2_T1M,16,10,8,2,0.25,16,64,8,71680,1071104,1000000,122,10,7284480000000,0.012499647882256621
d016_G08_A3_T1M,16,10,8,3,0.375,24,64,8,102400,1071104,1000000,122,10,7468800000000,0.012451981483457523
d016_G08_A4_T1M,16,10,8,4,0.5,32,64,8,133120,1071104,1000000,122,10,7653120000000,0.012405652389787433
d016_G08_A8_T1M,16,10,8,8,1.0,64,64,8,256000,1071104,1000000,122,10,8390400000000,0.01223241336329102
d016_G16_A1_T1M,16,10,16,1,0.125,16,128,4,40960,1081344,1000000,122,10,7161600000000,0.012532204695981403
d016_G16_A2_T1M,16,10,16,2,0.25,32,128,4,71680,1081344,1000000,122,10,7345920000000,0.01248360604936622
d016_G16_A3_T1M,16,10,16,3,0.375,48,128,4,102400,1081344,1000000,122,10,7530240000000,0.01243639334910521
d016_G16_A4_T1M,16,10,16,4,0.5,64,128,4,133120,1081344,1000000,122,10,7714560000000,0.01239049456630817
d016_G16_A8_T1M,16,10,16,8,1.0,128,128,4,256000,1081344,1000000,122,10,8451840000000,0.012218775049001387
d016_G01_A1_T2M,16,10,1,1,0.125,1,8,64,40960,1062144,2000000,244,10,14092800000000,0.011299958088269868
d016_G01_A2_T2M,16,10,1,2,0.25,2,8,64,71680,1062144,2000000,244,10,14461440000000,0.011255432132732885
d016_G01_A3_T2M,16,10,1,3,0.375,3,8,64,102400,1062144,2000000,244,10,14830080000000,0.011212195919096536
d016_G01_A4_T2M,16,10,1,4,0.5,4,8,64,133120,1062144,2000000,244,10,15198720000000,0.011170181391367825
d016_G01_A8_T2M,16,10,1,8,1.0,8,8,64,256000,1062144,2000000,244,10,16673280000000,0.011013148634986966
d016_G02_A1_T2M,16,10,2,1,0.125,2,16,32,40960,1063424,2000000,244,10,14108160000000,0.011298076149398067
d016_G02_A2_T2M,16,10,2,2,0.25,4,16,32,71680,1063424,2000000,244,10,14476800000000,0.011253605364076349
d016_G02_A3_T2M,16,10,2,3,0.375,6,16,32,102400,1063424,2000000,244,10,14845440000000,0.011210421375368103
d016_G02_A4_T2M,16,10,2,4,0.5,8,16,32,133120,1063424,2000000,244,10,15214080000000,0.011168456351976623
d016_G02_A8_T2M,16,10,2,8,1.0,16,16,32,256000,1063424,2000000,244,10,16688640000000,0.011011598181938765
d016_G04_A1_T2M,16,10,4,1,0.125,4,32,16,40960,1065984,2000000,244,10,14138880000000,0.011294319348308714
d016_G04_A2_T2M,16,10,4,2,0.25,8,32,16,71680,1065984,2000000,244,10,14507520000000,0.011249958521282114
d016_G04_A3_T2M,16,10,4,3,0.375,12,32,16,102400,1065984,2000000,244,10,14876160000000,0.011206878629773442
d016_G04_A4_T2M,16,10,4,4,0.5,16,32,16,133120,1065984,2000000,244,10,15244800000000,0.011165012288954947
d016_G04_A8_T2M,16,10,4,8,1.0,32,32,16,256000,1065984,2000000,244,10,16719360000000,0.011008502205592994
d016_G08_A1_T2M,16,10,8,1,0.125,8,64,8,40960,1071104,2000000,244,10,14200320000000,0.011286833898737868
d016_G08_A2_T2M,16,10,8,2,0.25,16,64,8,71680,1071104,2000000,244,10,14568960000000,0.011242691471767437
d016_G08_A3_T2M,16,10,8,3,0.375,24,64,8,102400,1071104,2000000,244,10,14937600000000,0.011199818374835706
d016_G08_A4_T2M,16,10,8,4,0.5,32,64,8,133120,1071104,2000000,244,10,15306240000000,0.011158148104504426
d016_G08_A8_T2M,16,10,8,8,1.0,64,64,8,256000,1071104,2000000,244,10,16780800000000,0.01100232988113405
d016_G16_A1_T2M,16,10,16,1,0.125,16,128,4,40960,1081344,2000000,244,10,14323200000000,0.011271974393611267
d016_G16_A2_T2M,16,10,16,2,0.25,32,128,4,71680,1081344,2000000,244,10,14691840000000,0.011228262795093718
d016_G16_A3_T2M,16,10,16,3,0.375,48,128,4,102400,1081344,2000000,244,10,15060480000000,0.011185797773072013
d016_G16_A4_T2M,16,10,16,4,0.5,64,128,4,133120,1081344,2000000,244,10,15429120000000,0.011144514541834013
d016_G16_A8_T2M,16,10,16,8,1.0,128,128,4,256000,1081344,2000000,244,10,16903680000000,0.01099006302680362
d016_G01_A1_T4M,16,10,1,1,0.125,1,8,64,40960,1062144,4000000,488,10,28185600000000,0.010163641698312034
d016_G01_A2_T4M,16,10,1,2,0.25,2,8,64,71680,1062144,4000000,488,10,28922880000000,0.010123593243723285
