Loaded LR params from results/lr_params.json: A_eta=1.1576, beta_eta=0.1529
Wrote configs/grid/manifest.csv  (400 rows)

run_name                          d    G   j      A  top_k  n_exp  d_exp      N_act            C         lr
d128_G08_A2_T8M                 128    8   2  25.0%     16     64     64  4.588e+06    6.589e+14 6.2772e-03
d128_G08_A3_T8M                 128    8   3  37.5%     24     64     64  6.554e+06    7.533e+14 6.1500e-03
d128_G08_A4_T8M                 128    8   4  50.0%     32     64     64  8.520e+06    8.476e+14 6.0400e-03
d128_G08_A8_T8M                 128    8   8 100.0%     64     64     64  1.638e+07    1.225e+15 5.7092e-03
d128_G16_A1_T8M                 128   16   1  12.5%     16    128     32  2.621e+06    5.684e+14 6.4205e-03
d128_G16_A2_T8M                 128   16   2  25.0%     32    128     32  4.588e+06    6.628e+14 6.2714e-03
d128_G16_A3_T8M                 128   16   3  37.5%     48    128     32  6.554e+06    7.572e+14 6.1451e-03
d128_G16_A4_T8M                 128   16   4  50.0%     64    128     32  8.520e+06    8.516e+14 6.0357e-03
d128_G16_A8_T8M                 128   16   8 100.0%    128    128     32  1.638e+07    1.229e+15 5.7064e-03
d128_G01_A1_T16M                128    1   1  12.5%      1      8    512  2.621e+06    1.122e+15 5.7864e-03
d128_G01_A2_T16M                128    1   2  25.0%      2      8    512  4.588e+06    1.311e+15 5.6504e-03
d128_G01_A3_T16M                128    1   3  37.5%      3      8    512  6.554e+06    1.500e+15 5.5354e-03
d128_G01_A4_T16M                128    1   4  50.0%      4      8    512  8.520e+06    1.688e+15 5.4360e-03
d128_G01_A8_T16M                128    1   8 100.0%      8      8    512  1.638e+07    2.443e+15 5.1373e-03
d128_G02_A1_T16M                128    2   1  12.5%      2     16    256  2.621e+06    1.123e+15 5.7856e-03
d128_G02_A2_T16M                128    2   2  25.0%      4     16    256  4.588e+06    1.312e+15 5.6498e-03
d128_G02_A3_T16M                128    2   3  37.5%      6     16    256  6.554e+06    1.501e+15 5.5349e-03
d128_G02_A4_T16M                128    2   4  50.0%      8     16    256  8.520e+06    1.689e+15 5.4355e-03
d128_G02_A8_T16M                128    2   8 100.0%     16     16    256  1.638e+07    2.444e+15 5.1370e-03
d128_G04_A1_T16M                128    4   1  12.5%      4     32    128  2.621e+06    1.125e+15 5.7840e-03
d128_G04_A2_T16M                128    4   2  25.0%      8     32    128  4.588e+06    1.314e+15 5.6485e-03
d128_G04_A3_T16M                128    4   3  37.5%     12     32    128  6.554e+06    1.503e+15 5.5338e-03
d128_G04_A4_T16M                128    4   4  50.0%     16     32    128  8.520e+06    1.691e+15 5.4345e-03
d128_G04_A8_T16M                128    4   8 100.0%     32     32    128  1.638e+07    2.446e+15 5.1364e-03
d128_G08_A1_T16M                128    8   1  12.5%      8     64     64  2.621e+06    1.129e+15 5.7810e-03
d128_G08_A2_T16M                128    8   2  25.0%     16     64     64  4.588e+06    1.318e+15 5.6459e-03
d128_G08_A3_T16M                128    8   3  37.5%     24     64     64  6.554e+06    1.507e+15 5.5315e-03
d128_G08_A4_T16M                128    8   4  50.0%     32     64     64  8.520e+06    1.695e+15 5.4326e-03
d128_G08_A8_T16M                128    8   8 100.0%     64     64     64  1.638e+07    2.450e+15 5.1351e-03
d128_G16_A1_T16M                128   16   1  12.5%     16    128     32  2.621e+06    1.137e+15 5.7748e-03
d128_G16_A2_T16M                128   16   2  25.0%     32    128     32  4.588e+06    1.326e+15 5.6408e-03
d128_G16_A3_T16M                128   16   3  37.5%     48    128     32  6.554e+06    1.514e+15 5.5271e-03
d128_G16_A4_T16M                128   16   4  50.0%     64    128     32  8.520e+06    1.703e+15 5.4288e-03
d128_G16_A8_T16M                128   16   8 100.0%    128    128     32  1.638e+07    2.458e+15 5.1326e-03
d128_G01_A1_T32M                128    1   1  12.5%      1      8    512  2.621e+06    2.244e+15 5.2045e-03
d128_G01_A2_T32M                128    1   2  25.0%      2      8    512  4.588e+06    2.622e+15 5.0822e-03
d128_G01_A3_T32M                128    1   3  37.5%      3      8    512  6.554e+06    2.999e+15 4.9788e-03
d128_G01_A4_T32M                128    1   4  50.0%      4      8    512  8.520e+06    3.377e+15 4.8894e-03
d128_G01_A8_T32M                128    1   8 100.0%      8      8    512  1.638e+07    4.887e+15 4.6207e-03
d128_G02_A1_T32M                128    2   1  12.5%      2     16    256  2.621e+06    2.246e+15 5.2038e-03
d128_G02_A2_T32M                128    2   2  25.0%      4     16    256  4.588e+06    2.624e+15 5.0817e-03
d128_G02_A3_T32M                128    2   3  37.5%      6     16    256  6.554e+06    3.001e+15 4.9783e-03
d128_G02_A4_T32M                128    2   4  50.0%      8     16    256  8.520e+06    3.379e+15 4.8889e-03
d128_G02_A8_T32M                128    2   8 100.0%     16     16    256  1.638e+07    4.889e+15 4.6204e-03
d128_G04_A1_T32M                128    4   1  12.5%      4     32    128  2.621e+06    2.250e+15 5.2024e-03
d128_G04_A2_T32M                128    4   2  25.0%      8     32    128  4.588e+06    2.628e+15 5.0805e-03
d128_G04_A3_T32M                128    4   3  37.5%     12     32    128  6.554e+06    3.005e+15 4.9773e-03
d128_G04_A4_T32M                128    4   4  50.0%     16     32    128  8.520e+06    3.383e+15 4.8880e-03
d128_G04_A8_T32M                128    4   8 100.0%     32     32    128  1.638e+07    4.893e+15 4.6199e-03
d128_G08_A1_T32M                128    8   1  12.5%      8     64     64  2.621e+06    2.258e+15 5.1996e-03
d128_G08_A2_T32M                128    8   2  25.0%     16     64     64  4.588e+06    2.636e+15 5.0782e-03
d128_G08_A3_T32M                128    8   3  37.5%     24     64     64  6.554e+06    3.013e+15 4.9753e-03
d128_G08_A4_T32M                128    8   4  50.0%     32     64     64  8.520e+06    3.391e+15 4.8863e-03
d128_G08_A8_T32M                128    8   8 100.0%     64     64     64  1.638e+07    4.900e+15 4.6187e-03
d128_G16_A1_T32M                128   16   1  12.5%     16    128     32  2.621e+06    2.274e+15 5.1941e-03
d128_G16_A2_T32M                128   16   2  25.0%     32    128     32  4.588e+06    2.651e+15 5.0736e-03
d128_G16_A3_T32M                128   16   3  37.5%     48    128     32  6.554e+06    3.029e+15 4.9713e-03
d128_G16_A4_T32M                128   16   4  50.0%     64    128     32  8.520e+06    3.406e+15 4.8829e-03
d128_G16_A8_T32M                128   16   8 100.0%    128    128     32  1.638e+07    4.916e+15 4.6165e-03
d192_G01_A1_T4M                 192    1   1  12.5%      1      8    768  5.898e+06    4.680e+14 6.6142e-03
d192_G01_A2_T4M                 192    1   2  25.0%      2      8    768  1.032e+07    5.742e+14 6.4107e-03
d192_G01_A3_T4M                 192    1   3  37.5%      3      8    768  1.475e+07    6.803e+14 6.2465e-03
d192_G01_A4_T4M                 192    1   4  50.0%      4      8    768  1.917e+07    7.865e+14 6.1095e-03
d192_G01_A8_T4M                 192    1   8 100.0%      8      8    768  3.686e+07    1.211e+15 5.7192e-03
d192_G02_A1_T4M                 192    2   1  12.5%      2     16    384  5.898e+06    4.684e+14 6.6134e-03
d192_G02_A2_T4M                 192    2   2  25.0%      4     16    384  1.032e+07    5.745e+14 6.4100e-03
d192_G02_A3_T4M                 192    2   3  37.5%      6     16    384  1.475e+07    6.807e+14 6.2460e-03
d192_G02_A4_T4M                 192    2   4  50.0%      8     16    384  1.917e+07    7.869e+14 6.1091e-03
d192_G02_A8_T4M                 192    2   8 100.0%     16     16    384  3.686e+07    1.212e+15 5.7190e-03
d192_G04_A1_T4M                 192    4   1  12.5%      4     32    192  5.898e+06    4.691e+14 6.6118e-03
d192_G04_A2_T4M                 192    4   2  25.0%      8     32    192  1.032e+07    5.753e+14 6.4088e-03
d192_G04_A3_T4M                 192    4   3  37.5%     12     32    192  1.475e+07    6.814e+14 6.2449e-03
d192_G04_A4_T4M                 192    4   4  50.0%     16     32    192  1.917e+07    7.876e+14 6.1082e-03
d192_G04_A8_T4M                 192    4   8 100.0%     32     32    192  3.686e+07    1.212e+15 5.7184e-03
d192_G08_A1_T4M                 192    8   1  12.5%      8     64     96  5.898e+06    4.706e+14 6.6087e-03
d192_G08_A2_T4M                 192    8   2  25.0%     16     64     96  1.032e+07    5.767e+14 6.4063e-03
d192_G08_A3_T4M                 192    8   3  37.5%     24     64     96  1.475e+07    6.829e+14 6.2429e-03
d192_G08_A4_T4M                 192    8   4  50.0%     32     64     96  1.917e+07    7.891e+14 6.1065e-03
d192_G08_A8_T4M                 192    8   8 100.0%     64     64     96  3.686e+07    1.214e+15 5.7174e-03
d192_G16_A1_T4M                 192   16   1  12.5%     16    128     48  5.898e+06    4.735e+14 6.6024e-03
d192_G16_A2_T4M                 192   16   2  25.0%     32    128     48  1.032e+07    5.797e+14 6.4013e-03
d192_G16_A3_T4M                 192   16   3  37.5%     48    128     48  1.475e+07    6.859e+14 6.2388e-03
d192_G16_A4_T4M                 192   16   4  50.0%     64    128     48  1.917e+07    7.920e+14 6.1030e-03
d192_G16_A8_T4M                 192   16   8 100.0%    128    128     48  3.686e+07    1.217e+15 5.7152e-03
d192_G01_A1_T8M                 192    1   1  12.5%      1      8    768  5.898e+06    9.360e+14 5.9491e-03
d192_G01_A2_T8M                 192    1   2  25.0%      2      8    768  1.032e+07    1.148e+15 5.7660e-03
d192_G01_A3_T8M                 192    1   3  37.5%      3      8    768  1.475e+07    1.361e+15 5.6183e-03
d192_G01_A4_T8M                 192    1   4  50.0%      4      8    768  1.917e+07    1.573e+15 5.4951e-03
d192_G01_A8_T8M                 192    1   8 100.0%      8      8    768  3.686e+07    2.422e+15 5.1441e-03
d192_G02_A1_T8M                 192    2   1  12.5%      2     16    384  5.898e+06    9.367e+14 5.9484e-03
d192_G02_A2_T8M                 192    2   2  25.0%      4     16    384  1.032e+07    1.149e+15 5.7654e-03
d192_G02_A3_T8M                 192    2   3  37.5%      6     16    384  1.475e+07    1.361e+15 5.6179e-03
d192_G02_A4_T8M                 192    2   4  50.0%      8     16    384  1.917e+07    1.574e+15 5.4948e-03
d192_G02_A8_T8M                 192    2   8 100.0%     16     16    384  3.686e+07    2.423e+15 5.1439e-03
d192_G04_A1_T8M                 192    4   1  12.5%      4     32    192  5.898e+06    9.382e+14 5.9470e-03
d192_G04_A2_T8M                 192    4   2  25.0%      8     32    192  1.032e+07    1.151e+15 5.7643e-03
d192_G04_A3_T8M                 192    4   3  37.5%     12     32    192  1.475e+07    1.363e+15 5.6170e-03
d192_G04_A4_T8M                 192    4   4  50.0%     16     32    192  1.917e+07    1.575e+15 5.4940e-03
d192_G04_A8_T8M                 192    4   8 100.0%     32     32    192  3.686e+07    2.425e+15 5.1434e-03
d192_G08_A1_T8M                 192    8   1  12.5%      8     64     96  5.898e+06    9.411e+14 5.9441e-03
d192_G08_A2_T8M                 192    8   2  25.0%     16     64     96  1.032e+07    1.153e+15 5.7621e-03
d192_G08_A3_T8M                 192    8   3  37.5%     24     64     96  1.475e+07    1.366e+15 5.6151e-03
d192_G08_A4_T8M                 192    8   4  50.0%     32     64     96  1.917e+07    1.578e+15 5.4924e-03
d192_G08_A8_T8M                 192    8   8 100.0%     64     64     96  3.686e+07    2.427e+15 5.1424e-03
d192_G16_A1_T8M                 192   16   1  12.5%     16    128     48  5.898e+06    9.470e+14 5.9384e-03
d192_G16_A2_T8M                 192   16   2  25.0%     32    128     48  1.032e+07    1.159e+15 5.7576e-03
d192_G16_A3_T8M                 192   16   3  37.5%     48    128     48  1.475e+07    1.372e+15 5.6114e-03
d192_G16_A4_T8M                 192   16   4  50.0%     64    128     48  1.917e+07    1.584e+15 5.4893e-03
d192_G16_A8_T8M                 192   16   8 100.0%    128    128     48  3.686e+07    2.433e+15 5.1405e-03
d192_G01_A1_T16M                192    1   1  12.5%      1      8    768  5.898e+06    1.872e+15 5.3509e-03
d192_G01_A2_T16M                192    1   2  25.0%      2      8    768  1.032e+07    2.297e+15 5.1862e-03
d192_G01_A3_T16M                192    1   3  37.5%      3      8    768  1.475e+07    2.721e+15 5.0534e-03
d192_G01_A4_T16M                192    1   4  50.0%      4      8    768  1.917e+07    3.146e+15 4.9426e-03
d192_G01_A8_T16M                192    1   8 100.0%      8      8    768  3.686e+07    4.845e+15 4.6268e-03
d192_G02_A1_T16M                192    2   1  12.5%      2     16    384  5.898e+06    1.873e+15 5.3502e-03
d192_G02_A2_T16M                192    2   2  25.0%      4     16    384  1.032e+07    2.298e+15 5.1857e-03
